   Burundi, 344 767
   Comoros, 12 496
   Djibouti, 119 738
   Eritrea, 13 934
   Ethiopia,1 085 517
   Kenya,1 050 147
   Madagascar, 35 563
   Malawi, 191 362
   Mauritius, 28 893
   Mayotte, 111 540
   Mozambique, 338 850
   Réunion, 131 769
   Rwanda, 513 907
   Seychelles, 13 050
   Somalia, 58 590
   South Sudan, 882 252
   Uganda,1 720 313
   United Republic of Tanzania, 426 017
   Zambia, 187 955
   Zimbabwe, 416 141
   Angola, 656 434
   Cameroon, 579 209
   Central African Republic, 88 546
   Chad, 547 494
   Congo, 387 606
   Democratic Republic of the Congo, 952 871
   Equatorial Guinea, 230 618
   Gabon, 416 651
   Sao Tome and Principe, 2 139
   Algeria, 250 378
   Egypt, 543 937
   Libya, 826 537
   Morocco, 102 358
   Sudan,1 379 147
   Tunisia, 60 145
   Western Sahara, 5 424
   Botswana, 110 268
   Eswatini, 32 858
   Lesotho, 12 060
   Namibia, 109 391
   South Africa,2 860 495
   Benin, 394 276
   Burkina Faso, 723 989
   Cabo Verde, 15 788
    Côte d'Ivoire,2 564 857
   Gambia, 215 659
   Ghana, 476 412
   Guinea, 121 437
   Guinea-Bissau, 17 945
   Liberia, 87 947
   Mali, 485 829
   Mauritania, 182 286
   Niger, 348 056
   Nigeria,1 308 568
   Saint Helena,  437
   Senegal, 274 929
   Sierra Leone, 53 746
   Togo, 279 936
   Kazakhstan,3 732 073
   Kyrgyzstan, 199 011
   Tajikistan, 276 031
   Turkmenistan, 194 920
   Uzbekistan,1 162 007
   China,1 039 675
   China, Hong Kong SAR,2 962 492
   China, Macao SAR, 403 490
   China, Taiwan Province of China,..
   Dem. People's Republic of Korea, 49 549
   Japan,2 770 996
   Mongolia, 21 345
   Republic of Korea,1 728 182
   Brunei Darussalam, 111 959
   Cambodia, 79 341
   Indonesia, 355 505
   Lao People's Democratic Republic, 48 731
   Malaysia,3 476 560
   Myanmar, 76 446
   Philippines, 225 525
   Singapore,2 523 648
   Thailand,3 632 496
   Timor-Leste, 8 399
   Viet Nam, 76 767
   Afghanistan, 144 098
   Bangladesh,2 115 408
   Bhutan, 53 612
   India,4 878 704
   Iran (Islamic Republic of),2 797 235
   Maldives, 70 079
   Nepal, 487 564
   Pakistan,3 276 580
   Sri Lanka, 40 254
   Armenia, 190 349
   Azerbaijan, 252 228
   Bahrain, 936 094
   Cyprus, 190 366
   Georgia, 79 368
   Iraq, 365 766
   Israel,1 953 575
   Jordan,3 457 691
   Kuwait,3 110 159
   Lebanon,1 712 762
   Oman,2 372 836
   Qatar,2 226 192
   Saudi Arabia,13 454 842
   State of Palestine, 272 784
   Syrian Arab Republic, 868 711
   Turkey,6 052 652
   United Arab Emirates,8 716 332
   Yemen, 387 113
   Belarus,1 067 090
   Bulgaria, 184 363
   Czechia, 540 921
   Hungary, 584 567
   Poland, 817 254
   Republic of Moldova, 104 438
   Romania, 705 310
   Russian Federation,11 636 911
   Slovakia, 197 161
   Ukraine,4 997 387
   Channel Islands, 84 087
   Denmark, 717 574
   Estonia, 199 277
   Faroe Islands, 6 812
   Finland, 386 052
   Iceland, 65 424
   Ireland, 871 256
   Isle of Man, 43 040
   Latvia, 239 422
   Lithuania, 145 184
   Norway, 852 238
   Sweden,2 003 908
   United Kingdom,9 359 587
   Albania, 48 810
   Andorra, 45 574
   Bosnia and Herzegovina, 36 042
   Croatia, 528 056
   Gibraltar, 11 190
   Greece,1 340 456
   Holy See,  809
   Italy,6 386 998
   Malta, 114 760
   Montenegro, 70 999
   North Macedonia, 131 311
   Portugal,1 001 963
   San Marino, 5 543
   Serbia, 823 011
   Slovenia, 277 964
   Spain,6 842 202
   Austria,1 738 183
   Belgium,2 005 479
   France,8 524 876
   Germany,15 762 457
   Liechtenstein, 25 877
   Luxembourg, 298 062
